Class,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,14.0
Agent.FYI,1.0,1.0,1.0,18.0
Allaple.A,0.9931506849315068,0.9977064220183486,0.9954233409610984,436.0
Allaple.L,1.0,1.0,1.0,239.0
Alueron.genU,1.0,1.0,1.0,30.0
Autorun.K,0.0,0.0,0.0,14.0
C2LOP.gen!g,0.9375,1.0,0.967741935483871,30.0
C2LOP.P,0.9444444444444444,0.7727272727272727,0.85,22.0
Dialplatform.B,1.0,0.9629629629629629,0.9811320754716981,27.0
Dontovo.A,1.0,1.0,1.0,25.0
Fakerean,1.0,0.9666666666666667,0.9830508474576272,30.0
Instantaccess,1.0,1.0,1.0,65.0
Lolyda.AA1,0.9411764705882353,1.0,0.9696969696969697,32.0
Lolyda.AA2,1.0,0.9285714285714286,0.9629629629629629,28.0
Lolyda.AA3,1.0,1.0,1.0,19.0
Lolyda.AT,0.96,1.0,0.9795918367346939,24.0
Malex.gen!J,1.0,0.9047619047619048,0.95,21.0
Obfuscator.AD,1.0,1.0,1.0,22.0
Rbot!gen,1.0,1.0,1.0,24.0
Skintrim.N,0.9230769230769231,1.0,0.96,12.0
Swizzor.gen!E,0.6666666666666666,0.8,0.7272727272727273,20.0
Swizzor.gen!I,0.5555555555555556,0.5,0.5263157894736842,20.0
VB.AT,1.0,1.0,1.0,62.0
Wintrim.BX,1.0,1.0,1.0,15.0
Yuner.A,0.5882352941176471,1.0,0.7407407407407407,20.0
accuracy,0.9684791174152876,0.9684791174152876,0.9684791174152876,-
macro avg,0.9003922415752392,0.9133358663083433,0.903757169050243,1269.0
weighted avg,0.962458783979873,0.9684791174152876,0.9642072351533975,1269.0
